Year,Var
1981,3635.9226
1982,3635.9226
1983,3635.9226
1984,3635.9226
1985,3635.9226
1986,3635.9226
1987,3635.9226
1988,3635.9226
1989,3635.9226
1990,3635.9226
1991,3635.9226
1992,3635.9226
1993,3635.9226
1994,3635.9226
1995,3635.9226
1996,3635.9226
1997,3635.9226
1998,3635.9226
1999,3635.9226
2000,3635.9226
2001,3635.9226
2002,3635.9226
2003,3635.9226
2004,3635.9226
2005,3635.9226
2006,3635.9226
2007,3635.9226
2008,3635.9226
2009,3635.9226
2010,3635.9226
2011,3635.9226
2012,3635.9226
2013,3635.9226
2014,3635.9226
2015,3635.9226
2016,3635.9226
